,BRND_CD,MKT_LN_CD,stagnate,return,first_buy,rebuy,sales_total
1942,VM8,422,0,0,4,0,0.2044356
1943,VMA,049,8,0,31,7,11.500229999999997
1944,VMA,051,12,0,40,37,103.0
1945,VMB,031,21,0,47,40,18.943543000000005
1946,VMC,004,16,0,3,0,0.2903224
1947,VMC,049,14,0,96,31,39.83413000000006
1948,VMC,051,6,0,16,5,18.0
1949,VMH,004,7,0,13,16,6.677416800000005
1950,VMH,031,1,0,0,0,0.0
1951,VMH,049,3,1,46,7,11.666899999999995
1952,VMH,051,0,0,23,3,15.0
1953,VMM,049,1,0,32,4,7.000139999999998
1954,VMM,422,1,0,1,2,0.15332669999999998
1955,VMO,031,0,0,2,0,0.798387
1956,VMT,049,5,0,33,7,13.166929999999997
1957,VMT,126,5,0,13,13,5.661288300000001
1958,VMT,344,0,1,1,0,0.0
1959,VOG,004,11,0,19,22,10.524189000000003
1960,VOG,031,38,4,69,46,23.773177499999967
1961,VOL,049,9,0,36,29,33.33400000000001
1962,VOL,137,1,0,13,10,20.864518200000003
1963,VOL,478,1,0,2,0,0.1354838
1964,VPH,049,0,0,3,0,0.5000100000000001
1965,VPH,051,2,0,0,0,0.5
1966,VPR,049,0,0,9,0,2.5000500000000003
1967,VPR,344,2,0,4,1,0.9387420000000002
1968,VRC,031,0,0,2,0,0.1451612
1969,VRC,049,4,0,28,2,7.166809999999998
1970,VRC,051,3,0,8,3,39.0
1971,VRO,049,1,0,45,11,13.333599999999993
1972,VRO,051,13,1,26,21,55.5
1973,VSG,049,1,0,2,1,0.66668
1974,VSI,049,7,0,39,41,72.16811000000007
1975,VSI,051,0,0,2,0,1.0
1976,VSI,137,1,0,13,13,62.16774540000001
1977,VSI,478,1,0,2,0,0.1354838
1978,VSL,049,2,0,26,2,5.500109999999998
1979,VSM,049,4,1,28,23,28.33389999999999
1980,VSM,137,2,0,9,7,13.625808000000003
1981,VST,049,0,0,1,1,0.83335
1982,W09,049,0,0,10,0,1.6667000000000005
1983,W0W,274,0,0,1,0,0.0511089
1984,W10,049,2,0,3,0,1.5000300000000004
1985,W14,049,1,0,0,0,0.33334
1986,W14,274,0,0,3,0,0.15332669999999998
1987,W15,049,0,0,2,0,0.33334
1988,W15,274,1,0,1,0,0.0511089
1989,W18,049,1,0,14,4,4.50009
1990,W18,274,0,0,1,0,0.0511089
1991,W20,049,0,0,1,0,0.16667
1992,W22,049,0,0,6,0,1.0000200000000001
1993,W25,049,0,0,1,0,0.16667
1994,W25,051,0,0,2,0,1.0
1995,W26,049,0,0,6,1,1.1666900000000002
1996,W26,274,0,0,0,1,0.0511089
1997,W2W,274,0,0,1,0,0.0511089
1998,W30,049,0,0,7,1,1.3333600000000003
1999,W30,274,1,0,4,0,0.2044356
2000,W31,031,6,0,4,2,1.0161286999999999
2001,W31,049,6,0,3,0,1.16669
2002,W31,051,2,0,2,0,1.5
2003,W34,049,0,0,1,0,0.16667
2004,W36,049,0,0,1,0,0.16667
2005,W38,049,0,0,3,0,0.5000100000000001
2006,W38,274,0,0,2,0,0.1022178
2007,W39,031,15,0,2,0,0.1451612
2008,W39,049,3,0,5,0,1.0000200000000001
2009,W39,051,1,0,0,0,0.0
2010,W43,049,1,0,6,2,1.3333600000000003
