cal_yr_mo_nbr
201411
201810
201408
201501
201610
201509
201703
201601
201508
201510
201405
201402
201704
201604
201511
201403
201605
201711
201507
201708
201811
201406
201401
201603
201504
201502
201404
201807
201407
201709
201809
201806
201602
201512
201412
201505
201607
201710
201706
201410
201612
201409
201707
201506
201705
201804
201503
201802
201608
201801
201609
201606
201803
201702
201701
201712
201611
201812
201805
201808
